home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,home_def_yards_allowed,home_def_points_allowed,home_recent_points,home_points_trend,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,away_def_yards_allowed,away_def_points_allowed,away_recent_points,away_points_trend,passing_advantage,rushing_advantage,scoring_advantage,momentum_advantage,turnover_advantage,injury_advantage,defensive_advantage,offensive_vs_defense,home_field_advantage,is_playoff,is_neutral,week,season,rest_days,is_division_game,vegas_spread,home_win,home_score,away_score,game_id
243.0,97.0,340.0,73.72,3.0,0.0,25.5,432.0,20.0,73.72,0.0,175.0,69.0,244.0,29.4,0.0,1.0,25.5,190.0,13.0,29.4,0.0,68.0,28.0,44.32,0.0,1.0,0.0,-7.0,60.720001220703125,2.5,1,0,2,2015,7,0,0,0,24.0,31.0,2015_2_KC_DEN
195.0,147.0,342.0,64.0,1.0,0.0,25.5,307.0,14.0,64.0,0.0,288.0,80.0,368.0,88.32,4.0,0.0,25.5,485.0,21.0,88.32,0.0,-93.0,67.0,-24.32,0.0,0.0,0.0,7.0,43.0,2.5,1,0,2,2015,7,0,0,0,32.0,40.0,2015_2_BUF_NE
175.0,105.0,280.0,43.0,1.0,1.0,25.5,279.0,9.0,43.0,0.0,334.0,98.0,432.0,76.56,2.0,1.0,25.5,340.0,27.0,76.56,0.0,-159.0,7.0,-33.559998,0.0,0.0,0.0,18.0,16.0,2.5,1,0,2,2015,7,0,0,1,24.0,17.0,2015_2_CAR_HOU
225.0,189.0,414.0,64.4,1.0,1.0,25.5,322.0,31.0,64.4,0.0,307.0,120.0,427.0,88.98,3.0,0.0,25.5,409.0,19.0,88.98,0.0,-82.0,69.0,-24.580002,0.0,-1.0,0.0,-12.0,45.400001525878906,2.5,1,0,2,2015,7,0,0,0,23.0,48.0,2015_2_CHI_ARI
231.0,104.0,335.0,44.739998,1.0,1.0,25.5,333.0,31.0,44.739998,0.0,209.0,124.0,333.0,85.66,4.0,0.0,25.5,302.0,14.0,85.66,0.0,22.0,-20.0,-40.920006,0.0,-1.0,0.0,-17.0,30.73999786376953,2.5,1,0,2,2015,7,0,0,1,28.0,14.0,2015_2_CLE_TEN
231.0,71.0,302.0,37.44,0.0,1.0,25.5,395.0,20.0,37.44,0.0,246.0,69.0,315.0,63.34,2.0,2.0,25.5,0.0,0.0,63.34,0.0,-15.0,2.0,-25.900002,0.0,1.0,0.0,-20.0,37.439998626708984,2.5,1,0,2,2015,7,0,0,1,26.0,16.0,2015_2_MIN_DET
355.0,54.0,409.0,63.100002,1.0,1.0,25.5,427.0,31.0,63.100002,0.0,210.0,92.0,302.0,54.6,2.0,2.0,25.5,333.0,42.0,54.6,0.0,145.0,-38.0,8.500004,0.0,1.0,0.0,11.0,21.10000228881836,2.5,1,0,2,2015,7,0,0,0,19.0,26.0,2015_2_NO_TB
189.0,99.0,288.0,42.36,0.0,0.0,25.5,436.0,27.0,42.36,0.0,298.0,105.0,403.0,68.22,2.0,2.0,25.5,399.0,24.0,68.22,0.0,-109.0,-6.0,-25.86,0.0,2.0,0.0,-3.0,18.360000610351562,2.5,1,0,2,2015,7,0,0,0,20.0,24.0,2015_2_NYG_ATL
351.0,134.0,485.0,80.54,1.0,1.0,25.5,368.0,28.0,80.54,0.0,165.0,230.0,395.0,58.1,0.0,0.0,25.5,302.0,3.0,58.1,0.0,186.0,-96.0,22.440002,0.0,-1.0,0.0,-25.0,77.54000091552734,2.5,1,0,2,2015,7,0,0,1,43.0,18.0,2015_2_PIT_SF
183.0,96.0,279.0,39.22,1.0,2.0,25.5,280.0,20.0,39.22,0.0,226.0,74.0,300.0,53.04,1.0,0.0,25.5,357.0,10.0,53.04,0.0,-43.0,22.0,-13.82,0.0,-2.0,0.0,-10.0,29.220001220703125,2.5,1,0,2,2015,7,0,0,1,23.0,20.0,2015_2_JAX_MIA
336.0,63.0,399.0,71.34,1.0,2.0,25.5,403.0,26.0,71.34,0.0,356.0,80.0,436.0,81.84,3.0,2.0,25.5,288.0,26.0,81.84,0.0,-20.0,-17.0,-10.5,0.0,0.0,0.0,0.0,45.339996337890625,2.5,1,0,2,2015,7,0,0,0,10.0,20.0,2015_2_PHI_DAL
189.0,133.0,322.0,75.76,3.0,0.0,25.5,414.0,23.0,75.76,0.0,251.0,124.0,375.0,63.54,1.0,1.0,25.5,0.0,0.0,63.54,0.0,-62.0,9.0,12.220001,0.0,1.0,0.0,-23.0,75.76000213623047,2.5,1,0,2,2015,7,0,0,1,27.0,17.0,2015_2_GB_SEA
243.0,64.0,307.0,60.42,2.0,2.0,25.5,342.0,27.0,60.42,0.0,179.0,154.0,333.0,70.46,2.0,1.0,25.5,335.0,10.0,70.46,0.0,64.0,-90.0,-10.040001,0.0,-1.0,0.0,-17.0,50.41999816894531,2.5,1,0,2,2015,7,0,0,0,7.0,20.0,2015_2_IND_NYJ
240.5,98.0,338.5,55.47,1.0,0.0,25.5,427.5,25.5,55.47,0.0,199.5,171.5,371.0,58.08,1.0,1.0,25.5,300.0,17.0,58.08,0.0,41.0,-73.5,-2.6100006,0.0,1.0,0.0,-8.5,38.470001220703125,2.5,1,0,3,2015,7,0,0,1,32.0,21.0,2015_3_NYG_WAS
250.5,91.0,341.5,53.170002,1.0,1.5,25.5,244.0,19.0,53.170002,0.0,241.5,151.0,392.5,77.91,2.5,0.0,25.5,0.0,0.0,77.91,0.0,9.0,-60.0,-24.740002,0.0,-1.5,0.0,-19.0,53.17000198364258,2.5,1,0,3,2015,7,0,0,0,24.0,28.0,2015_3_BAL_CIN
185.0,138.5,323.5,55.75,1.5,1.0,25.5,292.0,13.0,55.75,0.0,305.0,79.0,384.0,62.6,1.0,1.0,25.5,386.5,28.5,62.6,0.0,-120.0,59.5,-6.8499985,0.0,0.0,0.0,15.5,27.25,2.5,1,0,3,2015,7,0,0,1,27.0,22.0,2015_3_CAR_NO
312.0,94.5,406.5,71.13,2.0,1.0,25.5,259.5,18.0,71.13,0.0,330.5,80.5,411.0,73.32,1.5,1.0,25.5,394.0,22.0,73.32,0.0,-18.5,14.0,-2.1900024,0.0,0.0,0.0,4.0,49.12999725341797,2.5,1,0,3,2015,7,0,0,0,28.0,39.0,2015_3_DAL_ATL
289.0,79.5,368.5,65.41,1.5,1.0,25.5,353.5,25.5,65.41,0.0,208.5,115.5,324.0,54.739998,1.5,1.0,25.5,346.0,30.5,54.739998,0.0,80.5,-36.0,10.670006,0.0,0.0,0.0,5.0,34.910003662109375,2.5,1,0,3,2015,7,0,0,1,19.0,9.0,2015_3_HOU_TB
377.0,68.0,445.0,95.58,3.5,0.0,25.5,443.5,26.5,95.58,0.0,228.0,109.5,337.5,54.870003,1.5,1.0,25.5,340.5,20.0,54.870003,0.0,149.0,-41.5,40.71,0.0,1.0,0.0,-6.5,75.58000183105469,2.5,1,0,3,2015,7,0,0,1,51.0,17.0,2015_3_NE_JAX
211.5,127.5,339.0,66.36,2.0,1.0,25.5,339.0,8.5,66.36,0.0,280.0,35.0,315.0,53.699997,1.0,2.0,25.5,390.0,23.0,53.699997,0.0,-68.5,92.5,12.660004,0.0,1.0,0.0,14.5,43.36000061035156,2.5,1,0,3,2015,7,0,0,0,17.0,24.0,2015_3_NYJ_PHI
233.0,145.0,378.0,76.12,3.0,0.0,25.5,295.0,21.0,76.12,0.0,246.5,78.5,325.0,52.36,1.5,2.5,25.5,343.5,23.5,52.36,0.0,-13.5,66.5,23.760002,0.0,2.5,0.0,2.5,52.62000274658203,2.5,1,0,3,2015,7,0,0,0,33.0,35.0,2015_3_TEN_IND
246.0,117.5,363.5,88.19,3.5,0.5,25.5,379.5,21.0,88.19,0.0,250.0,170.5,420.5,69.05,1.0,0.0,25.5,377.5,23.0,69.05,0.0,-4.0,-53.0,19.14,0.0,-0.5,0.0,2.0,65.19000244140625,2.5,1,0,3,2015,7,0,0,1,47.0,7.0,2015_3_ARI_SF
292.5,58.0,350.5,63.75,1.5,0.0,25.5,376.5,16.5,63.75,0.0,218.5,153.5,372.0,74.94,2.0,1.5,25.5,414.5,27.0,74.94,0.0,74.0,-95.5,-11.190002,0.0,1.5,0.0,10.5,36.75,2.5,1,0,3,2015,7,0,0,0,14.0,41.0,2015_3_MIA_BUF
228.5,121.5,350.0,60.14,1.5,1.0,25.5,376.0,27.0,60.14,0.0,233.0,149.0,382.0,60.52,1.0,1.5,25.5,311.0,39.5,60.52,0.0,-4.5,-27.5,-0.38000107,0.0,0.5,0.0,12.5,20.639999389648438,2.5,1,0,3,2015,7,0,0,1,26.0,0.0,2015_3_SEA_CHI
266.0,53.5,319.5,60.590004,2.0,1.5,25.5,352.0,26.0,60.590004,0.0,215.5,65.0,280.5,49.670002,1.5,1.0,25.5,264.0,18.5,49.670002,0.0,50.5,-11.5,10.920002,0.0,-0.5,0.0,-7.5,42.090003967285156,2.5,1,0,3,2015,7,0,0,0,12.0,24.0,2015_3_DET_DEN
219.0,130.0,349.0,72.66,2.5,0.0,25.5,369.5,20.0,72.66,0.0,217.0,122.0,339.0,59.58,1.5,1.0,25.5,374.5,25.5,59.58,0.0,2.0,8.0,13.080002,0.0,1.0,0.0,5.5,47.160003662109375,2.5,1,0,3,2015,7,0,0,1,38.0,28.0,2015_3_GB_KC
316.66666,93.333336,410.0,79.666664,1.3333333333333333,0.6666666865348816,25.5,407.0,23.0,79.666664,0.0,287.66666,72.666664,360.33334,59.539997,1.3333333333333333,1.3333333730697632,25.5,356.5,23.5,59.539997,0.0,29.0,20.666672,20.126667,0.0,0.6666666865348816,0.0,0.5,56.166664123535156,2.5,1,0,4,2015,7,0,0,0,20.0,23.0,2015_4_PIT_BAL
294.0,72.666664,366.66666,65.76,1.6666666666666667,1.0,25.5,393.6666666666667,24.666666666666668,65.76,0.0,235.33333,100.666664,336.0,63.013336,2.0,1.6666666269302368,25.5,306.3333333333333,13.666666666666666,63.013336,0.0,58.66667,-28.0,2.746666,0.0,0.6666666269302368,0.0,-11.000000000000002,52.093335469563804,2.5,1,0,4,2015,7,0,0,0,14.0,27.0,2015_4_MIA_NYJ
315.33334,106.333336,421.66666,81.44666,1.6666666666666667,0.6666666865348816,25.5,382.3333333333333,24.0,81.44666,0.0,268.66666,115.0,383.66666,65.113335,1.3333333333333333,1.0,25.5,341.6666666666667,20.0,65.113335,0.0,46.666687,-8.666664,16.333328,0.0,0.3333333134651184,0.0,-4.0,61.44666290283203,2.5,1,0,4,2015,7,0,0,1,48.0,21.0,2015_4_ATL_HOU
238.0,152.66667,390.66666,79.920006,2.3333333333333335,1.0,25.5,409.3333333333333,22.666666666666668,79.920006,0.0,253.33333,93.333336,346.66666,61.466663,1.3333333333333333,0.0,25.5,419.6666666666667,24.0,61.466663,0.0,-15.333328,59.333336,18.453342,0.0,-1.0,0.0,1.3333333333333321,55.920005798339844,2.5,1,0,4,2015,7,0,0,0,10.0,24.0,2015_4_BUF_NYG
288.66666,129.33333,418.0,83.34667,2.6666666666666665,0.3333333432674408,25.5,398.0,24.0,83.34667,0.0,241.33333,106.333336,347.66666,65.753334,1.3333333333333333,1.0,25.5,401.6666666666667,29.666666666666668,65.753334,0.0,47.33333,22.999992,17.593338,0.0,0.6666666567325592,0.0,5.666666666666668,53.6800053914388,2.5,1,0,4,2015,7,0,0,1,36.0,21.0,2015_4_CIN_KC
251.0,96.666664,347.66666,60.806667,1.6666666666666667,2.3333332538604736,25.5,380.6666666666667,26.666666666666668,60.806667,0.0,232.66667,92.0,324.66666,55.773335,1.6666666666666667,1.0,25.5,388.0,30.333333333333332,55.773335,0.0,18.333328,4.666664,5.033333,0.0,-1.3333332538604736,0.0,3.6666666666666643,30.473333994547527,2.5,1,0,4,2015,7,0,0,1,16.0,13.0,2015_4_IND_JAX
