home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,passing_advantage,rushing_advantage,scoring_advantage,turnover_advantage,injury_advantage,home_field_advantage,is_playoff,is_neutral,week,season,home_win,home_score,away_score,game_id
39.68421,7.1578946,46.842106,10.061052,0.3684210526315789,0.0,25.5,20.727272,9.954545,30.681816,4.9881816,0.13636363636363635,0.09090909361839294,25.5,18.95694,-2.7966504,5.0728707,0.09090909361839294,0.0,2.5,1,0,3,2015,1,51.0,17.0,2015_3_NE_JAX
28.2,17.0,45.2,8.848001,0.26666666666666666,0.13333334028720856,25.5,26.666666,3.3333333,30.0,5.1142855,0.09523809523809523,0.190476194024086,25.5,1.5333347,13.666667,3.733715,0.05714285373687744,0.0,2.5,1,0,3,2015,0,17.0,24.0,2015_3_NYJ_PHI
21.181818,13.181818,34.363636,6.9199996,0.2727272727272727,0.0,25.5,27.38889,8.722222,36.11111,5.8177776,0.16666666666666666,0.2777777910232544,25.5,-6.2070713,4.4595957,1.102222,0.2777777910232544,0.0,2.5,1,0,3,2015,0,33.0,35.0,2015_3_TEN_IND
23.428572,11.190476,34.61905,8.399048,0.3333333333333333,0.0476190485060215,25.5,20.833334,14.208333,35.041668,5.754167,0.08333333333333333,0.0,25.5,2.5952377,-3.0178566,2.6448808,-0.0476190485060215,0.0,2.5,1,0,3,2015,1,47.0,7.0,2015_3_ARI_SF
30.789474,6.105263,36.894737,6.710526,0.15789473684210525,0.0,25.5,24.277779,17.055555,41.333336,8.326666,0.2222222222222222,0.1666666716337204,25.5,6.511696,-10.950293,-1.6161399,0.1666666716337204,0.0,2.5,1,0,3,2015,0,14.0,41.0,2015_3_MIA_BUF
21.761906,11.571428,33.333336,5.727619,0.14285714285714285,0.095238097012043,25.5,23.3,14.9,38.199997,6.0519996,0.1,0.15000000596046448,25.5,-1.5380936,-3.3285713,-0.3243804,0.05476190894842148,0.0,2.5,1,0,3,2015,1,26.0,0.0,2015_3_SEA_CHI
28.0,5.631579,33.63158,6.3778954,0.21052631578947367,0.15789473056793213,25.5,23.944445,7.2222223,31.166668,5.518889,0.16666666666666666,0.1111111119389534,25.5,4.0555553,-1.5906434,0.8590064,-0.04678361862897873,0.0,2.5,1,0,3,2015,0,12.0,24.0,2015_3_DET_DEN
29.2,17.333334,46.533333,9.688001,0.3333333333333333,0.0,25.5,25.529411,14.3529415,39.882355,7.009412,0.17647058823529413,0.11764705926179886,25.5,3.6705894,2.9803925,2.6785889,0.11764705926179886,0.0,2.5,1,0,3,2015,1,38.0,28.0,2015_3_GB_KC
39.583332,11.666667,51.25,9.958333,0.16666666666666666,0.0833333358168602,25.5,25.382353,6.4117646,31.794117,5.253529,0.11764705882352941,0.11764705926179886,25.5,14.200979,5.2549024,4.704804,0.03431372344493866,0.0,2.5,1,0,4,2015,0,20.0,23.0,2015_4_PIT_BAL
29.4,7.266667,36.666668,6.5760007,0.16666666666666666,0.10000000149011612,25.5,30.695652,13.130435,43.826088,8.2191305,0.2608695652173913,0.21739129722118378,25.5,-1.2956524,-5.863768,-1.6431298,0.11739129573106766,0.0,2.5,1,0,4,2015,0,14.0,27.0,2015_4_MIA_NYJ
33.785713,11.392858,45.17857,8.726428,0.17857142857142858,0.0714285746216774,25.5,23.705883,10.1470585,33.852943,5.745294,0.11764705882352941,0.0882352963089943,25.5,10.07983,1.2457991,2.981134,0.016806721687316895,0.0,2.5,1,0,4,2015,1,48.0,21.0,2015_4_ATL_HOU
25.5,16.357143,41.857143,8.562857,0.25,0.1071428582072258,25.5,26.206896,9.655172,35.86207,6.3586206,0.13793103448275862,0.0,25.5,-0.7068958,6.701971,2.204236,-0.1071428582072258,0.0,2.5,1,0,4,2015,0,10.0,24.0,2015_4_BUF_NYG
33.307693,14.923077,48.23077,9.616923,0.3076923076923077,0.03846153989434242,25.5,26.814816,11.814815,38.62963,7.3059263,0.14814814814814814,0.1111111119389534,25.5,6.492878,3.108262,2.310997,0.07264957204461098,0.0,2.5,1,0,4,2015,1,36.0,21.0,2015_4_CIN_KC
25.965517,10.0,35.965515,6.290345,0.1724137931034483,0.24137930572032928,25.5,21.151516,8.363636,29.515152,5.070303,0.15151515151515152,0.09090909361839294,25.5,4.814001,1.636364,1.2200422,-0.15047021210193634,0.0,2.5,1,0,4,2015,1,16.0,13.0,2015_4_IND_JAX
