home_passing_ypg,home_rushing_ypg,home_total_ypg,home_points_pg,home_passing_tds_pg,home_turnovers_pg,home_injury_pct,home_def_yards_allowed,home_def_points_allowed,home_recent_points,home_points_trend,away_passing_ypg,away_rushing_ypg,away_total_ypg,away_points_pg,away_passing_tds_pg,away_turnovers_pg,away_injury_pct,away_def_yards_allowed,away_def_points_allowed,away_recent_points,away_points_trend,passing_advantage,rushing_advantage,scoring_advantage,momentum_advantage,turnover_advantage,injury_advantage,defensive_advantage,offensive_vs_defense,home_field_advantage,is_playoff,is_neutral,week,season,rest_days,is_division_game,vegas_spread,home_win,home_score,away_score,game_id
361.5,92.5,454.0,90.86,3.0,0.5,25.5,490.5,39.0,90.86,0.0,216.0,142.0,358.0,67.44,2.5,1.0,25.5,375.5,18.0,67.44,0.0,145.5,-49.5,23.419998,0.0,0.5,0.0,-21.0,72.86000061035156,2.5,1,0,3,2020,7,0,0,0,26.0,30.0,2020_3_ATL_CHI
363.5,105.0,468.5,91.39,3.0,0.0,25.5,347.0,22.5,91.39,0.0,271.0,172.0,443.0,81.14,1.5,0.5,25.5,382.5,18.0,81.14,0.0,92.5,-67.0,10.25,0.0,0.5,0.0,-4.5,73.38999938964844,2.5,1,0,3,2020,7,0,0,1,35.0,32.0,2020_3_BUF_LA
204.0,176.5,380.5,66.21,1.5,1.0,25.5,389.5,34.0,66.21,0.0,200.5,98.5,299.0,55.92,1.0,0.0,25.5,386.5,23.5,55.92,0.0,3.5,78.0,10.290001,0.0,-1.0,0.0,-10.5,42.709999084472656,2.5,1,0,3,2020,7,0,0,1,34.0,20.0,2020_3_CLE_WAS
186.0,107.0,293.0,56.739998,1.0,2.0,25.5,443.5,35.5,56.739998,0.0,244.0,126.5,370.5,76.81,3.0,0.0,25.5,413.5,22.0,76.81,0.0,-58.0,-19.5,-20.07,0.0,-2.0,0.0,-13.5,34.73999786376953,2.5,1,0,3,2020,7,0,0,0,30.0,31.0,2020_3_MIN_TEN
276.0,142.0,418.0,71.840004,0.5,0.5,25.5,360.0,23.0,71.840004,0.0,261.5,124.5,386.0,80.06,2.0,0.0,25.5,411.0,27.0,80.06,0.0,14.5,17.5,-8.219994,0.0,-0.5,0.0,4.0,44.840003967285156,2.5,1,0,3,2020,7,0,0,1,36.0,20.0,2020_3_NE_LV
260.0,52.0,312.0,50.6,1.0,1.5,25.5,347.5,21.5,50.6,0.0,230.5,152.5,383.0,72.520004,2.0,0.5,25.5,346.5,18.5,72.520004,0.0,29.5,-100.5,-21.920006,0.0,-1.0,0.0,-3.0,32.099998474121094,2.5,1,0,3,2020,7,0,0,0,9.0,36.0,2020_3_NYG_SF
256.0,89.0,345.0,54.739998,1.0,2.0,25.5,358.0,32.0,54.739998,0.0,254.5,95.0,349.5,60.13,1.5,0.5,25.5,398.5,25.5,60.13,0.0,1.5,-6.0,-5.390003,0.0,-1.5,0.0,-6.5,29.23999786376953,2.5,1,0,3,2020,7,0,0,0,23.0,23.0,2020_3_PHI_CIN
270.0,125.0,395.0,76.3,2.5,0.5,25.5,344.0,18.5,76.3,0.0,264.0,84.5,348.5,58.41,1.0,1.0,25.5,405.5,33.5,58.41,0.0,6.0,40.5,17.890003,0.0,0.5,0.0,15.0,42.80000305175781,2.5,1,0,3,2020,7,0,0,1,28.0,21.0,2020_3_PIT_HOU
288.5,119.5,408.0,65.34,1.0,1.5,25.5,228.5,19.0,65.34,0.0,197.0,78.0,275.0,46.379997,1.0,0.5,25.5,397.0,29.0,46.379997,0.0,91.5,41.5,18.96,0.0,-1.0,0.0,10.0,36.339996337890625,2.5,1,0,3,2020,7,0,0,1,36.0,7.0,2020_3_IND_NYJ
259.5,169.0,428.5,63.23,0.5,0.5,25.5,371.0,18.0,63.23,0.0,318.0,108.0,426.0,70.32,0.5,1.0,25.5,355.5,32.5,70.32,0.0,-58.5,61.0,-7.09,0.0,0.5,0.0,14.5,30.729999542236328,2.5,1,0,3,2020,7,0,0,0,16.0,21.0,2020_3_LAC_CAR
258.0,170.0,428.0,73.119995,1.0,1.0,25.5,361.0,17.5,73.119995,0.0,270.5,113.5,384.0,68.22,1.5,1.0,25.5,445.0,34.5,68.22,0.0,-12.5,56.5,4.899994,0.0,0.0,0.0,17.0,38.6199951171875,2.5,1,0,3,2020,7,0,0,0,23.0,26.0,2020_3_ARI_DET
246.0,105.5,351.5,61.99,1.5,0.5,25.5,399.5,21.0,61.99,0.0,228.0,104.0,332.0,65.32,1.5,1.5,25.5,367.0,25.5,65.32,0.0,18.0,1.5,-3.329998,0.0,1.0,0.0,4.5,36.4900016784668,2.5,1,0,3,2020,7,0,0,0,10.0,28.0,2020_3_DEN_TB
305.0,119.0,424.0,101.600006,4.5,0.5,25.5,493.0,27.5,101.600006,0.0,358.0,130.5,488.5,85.17,1.0,0.0,25.5,407.0,29.5,85.17,0.0,-53.0,-11.5,16.430008,0.0,-0.5,0.0,2.0,72.10000610351562,2.5,1,0,3,2020,7,0,0,1,38.0,31.0,2020_3_SEA_DAL
255.0,97.0,352.0,68.399994,1.5,0.5,25.5,362.5,28.5,68.399994,0.0,302.0,208.5,510.5,103.130005,3.0,0.0,25.5,363.0,27.5,103.130005,0.0,-47.0,-111.5,-34.73001,0.0,-0.5,0.0,-1.0,40.899993896484375,2.5,1,0,3,2020,7,0,0,0,30.0,37.0,2020_3_NO_GB
244.0,170.5,414.5,79.21,2.0,0.0,25.5,326.5,11.0,79.21,0.0,256.5,145.5,402.0,80.46,2.5,0.0,25.5,432.5,20.0,80.46,0.0,-12.5,25.0,-1.25,0.0,0.0,0.0,9.0,59.209999084472656,2.5,1,0,3,2020,7,0,0,0,20.0,34.0,2020_3_BAL_KC
187.33333,88.333336,275.66666,43.726665,1.0,1.3333333730697632,25.5,382.3333333333333,31.333333333333332,43.726665,0.0,240.33333,84.333336,324.66666,55.413334,1.3333333333333333,1.0,25.5,388.0,23.333333333333332,55.413334,0.0,-53.0,4.0,-11.686668,0.0,-0.3333333730697632,0.0,-8.0,20.39333216349284,2.5,1,0,4,2020,7,0,0,0,28.0,37.0,2020_4_NYJ_DEN
